,slice,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,method
68,4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
69,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
70,6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
71,7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
72,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
73,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
74,10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
75,11,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
76,12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
77,13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
78,14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
79,15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
80,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
81,17,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
82,18,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
83,19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
84,20,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
85,21,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
86,22,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
87,23,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
88,24,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
89,25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.13000822,0.0,Majority Voting
90,26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.13000822,0.0019140625,Majority Voting
91,27,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.13000822,0.005078125,Majority Voting
